"entity","service","sub_service","sum","count"
"VDP","VEND","เอ็ม-150",7941.00,737
"VDP","VEND","เป๊ปซี่-สลิม",4669.00,337
"VDP","VEND","โค้ก-สลิม (1x24)",4362.00,320
"VDP","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",3363.00,294
"VDP","VEND","เนสกาแฟ -เอสเปรสโซ",2742.00,171
"VDP","VEND","เนสกาแฟ - ลาเต้",2640.00,168
"VDP","VEND","คาราบาวแดง",2066.00,190
"VDP","VEND","น้ำดื่ม อุลตร้าแมน ขนาด ml.",1956.00,199
"VDP","VEND","บิ๊กกรีนที",1841.00,165
"VDP","VEND","น้ำแร่ อุลตร้าแมน ขนาด 500ml.",1672.00,152
"VDP","VEND","เมจิกฟาร์ม -มะพร้าว",1647.00,151
"VDP","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",1627.00,165
"VDP","VEND","เบอร์ดี้โรบัสต้า",1137.00,71
"VDP","VEND","เลมอนโซดา ตราสิงห์ ขนาด 330cc.",1125.00,67
"VDP","VEND","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",1111.00,101
"VDP","VEND","เอสเพลย์-เกรปเบอร์รี่ 250 ml",1058.00,90
"VDP","VEND","เอสเพลย์-ครีมโซดา",1039.00,88
"VDP","VEND","ชเวปส์",1018.00,60
"VDP","VEND","เอส-โคล่า",1003.00,87
"VDP","VEND","UFC- เฉาก๊วย",972.00,70
"VDP","VEND","ซีวิท-เลมอน",842.00,51
"VDP","VEND","แฟนต้า-แดง  (1x24)",818.00,60
"VDP","VEND","ซีวิท-ออเร้นจ์",793.00,47
"VDP","VEND","611 เอ็มจอย ml. องุ่น",685.00,65
"VDP","VEND","บิ๊กโคล่า-น้ำดำ",677.00,62
"VDP","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",664.00,122
"VDP","VEND","มาม่า คัพ-ต้มยำกุ้งน้ำข้น",600.00,40
"VDP","VEND","เทสโตแผ่นหยัก ปูผัดผงกระหรี่",599.00,33
"VDP","VEND","เอส เพลย์ สตรอเบอร์รี่(กระป๋อง) 250 ml",587.00,50
"VDP","VEND","Coke (ขวด)",564.00,31
"VDP","VEND","611 น้ำวิตามินซี (Six.Eleven)",562.00,53
"VDP","VEND","เบอร์ดี้เอสเปรสโซ",530.00,35
"VDP","VEND","เทสโตแผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม",490.00,27
"VDP","VEND","โค้ก-ซีโร่ 245ml. (1x12)",487.00,38
"VDP","VEND","เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว",480.00,24
"VDP","VEND","มาม่า คัพ-หมูสับ",450.00,30
"VDP","VEND","เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก",448.00,22
"VDP","VEND","นิสชิน พรีเมี่ยมคัพ รสไก่เผ็ดเกาหลี",440.00,22
"VDP","VEND","คอนเน่",422.00,42
"VDP","VEND","พริงเกิลส์-ดั้งเดิม",400.00,20
"VDP","VEND","โดโซะรสคอร์นชีส 56g (10ชิ้น)",396.00,21
"VDP","VEND","สแน็คแจ๊ค",393.00,39
"VDP","VEND","ปาร์ตี้ คาราเมล",392.00,39
"VDP","VEND","611 น้ำเกลือแร่ (Six.Eleven)",382.00,35
"VDP","VEND","ปาปิก้า",377.00,37
"VDP","VEND","โดโซะรสกลมกล่อม 56g (10ชิ้น)",361.00,19
"VDP","VEND","มาม่า คัพ-ต้มยำกุ้ง",360.00,24
"VDP","VEND","ลิปตัน ไอซ์ที",354.00,23
"VDP","VEND","พริงเกิลส์-ซาวครีม",340.00,17
"VDP","VEND","น้ำแร่มองต์เฟลอ",325.00,46
"VDP","VEND","611 เอ็มจอยml ลิ้นจี่",317.00,30
"VDP","VEND","โคอะล่ามาร์ช-ช๊อกโกแล็ต",260.00,13
"VDP","VEND","ฮานามิ",238.00,23
"VDP","VEND","โฟร์โมสต์ยูเอที225มล.รสช็อกโกแลต",226.00,18
"VDP","VEND","เลย์ รสโนริสาหร่าย",222.00,11
"VDP","VEND","เจเล่บิวตี้ แบล็คเคอเรนท์150ก.",214.00,21
"VDP","VEND","เครื่องดื่มกัญชง ตรา คามูซี",214.00,8
"VDP","VEND","เขาช่อง ถั่วลิสงอบเกลือ 42 g.",200.00,20
"VDP","VEND","เจเล่บิวตี้ วิตามิน เอ.ซี.อี.150g.",196.00,19
"VDP","VEND","ทาโร่โรล 2ม. รสบาร์บีคิว",180.00,12
"VDP","VEND","ทาโร่โรล 2ม. รสเข้มข้น",180.00,12
"VDP","VEND","ลูกอมรสมะนาวผสมเกลือหิมาลัย",153.00,15
"VDP","VEND","น้ำด่าง PH+8.5  (Alkaline)",142.00,7
"VDP","VEND","โคอะล่ามาร์ช-สตรอเบอร์รี",140.00,7
"VDP","VEND","เครื่องดื่ม น้ำกัญชา แบบอัดลม",121.00,6
"VDP","VEND","เขาช่อง ถั่วลิสงเคลือบรสกาแฟ 30 g.",118.00,14
"VDP","VEND","นมไวตามิ้ลค์กล่องสูตรออริจินอล 300CC",114.00,11
"VDP","VEND","โฟร์โมสต์ยูเอที225มล.รสหวาน",112.00,9
"VDP","VEND","ยูนิฟน้ำผักผสมผลไม้รวมแครอทม่วง",94.00,9
"VDP","VEND","เอส PET 490มล.",93.00,6
"VDP","VEND","ยันฮี วิตามิน วอเตอร์ ไครแซนเทมั่ม",92.00,5
"VDP","VEND","โฟร์โมสต์ยูเอที225มล.รสจืด",72.00,6
"VDP","VEND","นมถั่วเหลืองแลตตาซอย รสหวาน250มล.",70.00,7
"VDP","VEND","ยูนิฟน้ำผักผสมผลไม้รวมผักใบเขียว",61.00,6
"VDP","VEND","โฟร์โมสต์โอเมก้าโยเกริต์ รสผลไม้",60.00,6
"VDP","VEND","นมไวตามิ้ลค์กล่องรสงาดำ",56.00,5
"VDP","VEND","นมไวตามิ้ลค์ขวดสูตรออริจินอล (ทูโก)",52.00,3
"VDP","VEND","โฟร์โมสต์โอเมก้า โยเกริต์พร้อมดื่ม รสส้ม",51.00,5
"VDP","VEND","เบอร์ดี้แบล็ค น้ำตาลน้อย 180 ml.",50.00,3
"VDP","VEND","น้ำดื่มเอสเทอร์บันนี่  มล.",25.00,5
"VDP","VEND","อิชิตัน-กรีนที น้ำผึ้งผสมมะนาว 275ML",21.00,2
"VDP","VEND","อิชิตัน เย็นเย็น จับเลี้ยง 275ml.",20.00,2
"VDP","VEND","เดนทีนไอซ์กลิ่นเชอรี่แผง",20.00,2
"VDP","VEND","มิลค์โก้ (ซอง) รสหวาน",20.00,2
"VDP","VEND","611 HONEY LYCHEE 320ml (ลิ้นจี่)",20.00,2
"VDP","VEND","M-Sport 250 ml.",20.00,2
"VDP","VEND","PEPSI MAX 245 ml.",15.00,1
"VDP","VEND","ยูนิฟ-แครอทม่วง(กระป๋อง)",13.00,1
"VDP","VEND","ลูกอมฮอล์น้ำผึ้ง(แผง)",12.00,1
"VDP","VEND","น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์",10.00,1
"VDP","VEND","น้ำเปล่า รักนะ",9.00,1
"VDP","VEND","น้ำแร่ ตราเวนดิ้ง พลัส 500 มล.",9.00,1
"VDP","SBMDIPCHIP","SBMDIPCHIP",0.00,72
